id,created_at,start_at,end_at,address,title,dao_name,author_address,token_address,network_name,token_symbol,vote_start_at
23,2022-06-30 16:56:00+00,2022-06-30 16:56:00+00,2022-07-02 23:34:00+00,0xbb5862b3c633269d2eb10188052d1f575b5971ad,,,0x7B15427393A98A041D00b50254A0C7a6fDC79F4E,0x02784227f38639e84ba2C71DCC68786b1DCEFFD8,polygon,joke19,
24,2022-08-02 15:02:56.396+00,2022-07-28 12:12:00+00,2022-07-29 16:30:00+00,0xe7161Bde2EceB87eB64A9351E42C79b18A949F2f,jokerace 22: pleasrdao,,0x7B15427393A98A041D00b50254A0C7a6fDC79F4E,0xEcebd20416b181198B4236A4a220e2220098958c,polygon,joke22,2022-07-29 16:00:00+00
25,2022-08-02 15:09:04.575+00,2022-07-13 09:41:00+00,2022-07-15 16:30:00+00,0x37f96dA8fB0c0634FB76D146C6d5E41a7f322573,jokerace 21: developerdao edition,,0x7B15427393A98A041D00b50254A0C7a6fDC79F4E,0x306A44B1A210853aA02feF7827E223e73757f6fB,polygon,joke21,2022-07-15 16:00:00+00
26,2022-08-02 15:09:32.039+00,2022-07-07 12:42:00+00,2022-07-08 16:30:00+00,0xF7fbD509Fa646588608431122c4C03D0e653CC74,jokerace20,,0x7B15427393A98A041D00b50254A0C7a6fDC79F4E,0x6A5d43400edbeF9A2634cBA635048a16C8E4BD0e,polygon,joke20,2022-07-08 16:00:00+00
27,2022-08-02 15:10:01.214+00,2022-08-01 15:40:00+00,2022-08-01 17:38:00+00,0x6e16622b96F4697BC917b414CB62Bc111b58F3dc,ЯКА ПРОБЛЕМА ПОТРЕБУЄ ПЕРШОЧЕРГОВОГО ВИРІШЕННЯ?,,0x48bCbB128d94896573113dcf428E779014E864Cd,0x63182ce8Ac476c028B6a027f99047160FEfF4036,polygon,W3CK,2022-08-01 16:38:00+00
28,2022-08-02 15:10:54.348+00,2022-07-14 20:00:00+00,2022-07-15 23:00:00+00,0x3Aa9538c6aCD23526fF72f75A9b9160a275379C3,JUICY BUIDLY HACKATHON VOTING EXTRAVAGANZA,,0x30670D81E487c80b9EDc54370e6EaF943B6EAB39,0x3d6fb0b26BeD422A18F48622f1EfcCdafaAe6CF4,polygon,JBHT,2022-07-14 23:00:00+00
29,2022-08-02 15:12:35.736+00,2022-08-02 13:00:00+00,2022-08-05 16:00:00+00,0x76D1F4B6429eBb5E05450B31D79f3c12846d6d3D,Pick the Not Boring Essay Topic,,0x2920A3192613d8c42f21b64873dc0Ddfcbf018D4,0xFC9a0FD64f098335E1A6330526D1c6ec2B0e9EF1,polygon,NBESSAY,2022-08-03 16:00:00+00
30,2022-08-02 15:13:19.478+00,2022-06-15 20:30:00+00,2022-06-17 16:30:00+00,0x6E626d5e615FC930de0281e13a158E31fE8BF82b,jokerace 17,,0x7B15427393A98A041D00b50254A0C7a6fDC79F4E,0xFac39D2521E49ebc2EEe01B0d923bCc0f72C00ea,polygon,joke17,2022-06-17 16:00:00+00
31,2022-08-02 15:13:36.491+00,2022-06-16 18:55:33+00,2022-06-17 19:00:33+00,0xb6282EEd6eB2f611b76530Cf1B492bcffBC18243,MEV T-shirt Design Vote,,0xFf8D58f85a4f7199c4b9461F787cD456Ad30e594,0x97F9440463570231cd4beF63EAFF3aF40Ef6e3FC,polygon,PIINS,2022-06-16 19:00:33+00
32,2022-08-02 15:14:41.008+00,2022-06-10 16:00:00+00,2022-06-21 16:00:00+00,0x1e4D52b5FfD9Cc8B7c4f5d3c2acCB49E60Da51b6,MetricsDAO: Optimistic about Optimism?,,0x581BEf12967f06f2eBfcabb7504fA61f0326CD9A,0x71731A85c9E61b80faec9a59aaB4AFe0dc9ad3C3,optimism,jMETRICv1,2022-06-17 16:00:00+00
33,2022-08-02 15:15:46.959+00,2022-06-09 15:30:00+00,2022-06-10 16:30:00+00,0xa75F05Bb6648126062c7337FA72c0f347aBECC11,tell a goblin joke,,0x7B15427393A98A041D00b50254A0C7a6fDC79F4E,0x116c5760a1914f62C642837f57552249c1738a72,polygon,joke16,2022-06-10 16:00:00+00
34,2022-08-02 15:21:08.189+00,2022-06-06 16:47:25+00,2022-06-06 20:47:25+00,0x581b81e6807451fe17e4e897a306484d149d6299,What Should We Use JokeDAO For?,,0x581BEf12967f06f2eBfcabb7504fA61f0326CD9A,0xa0C5772dB4A032C9AFa6E7D0d52D72892B874058,optimism,JTEST,2022-06-06 18:47:25+00
35,2022-08-02 15:26:12.709+00,2022-06-02 12:00:00+00,2022-06-03 16:30:00+00,0x3aCD536121141BDA3E8C0910E21802DA5Be3fCae,jokerace 15,,0x7B15427393A98A041D00b50254A0C7a6fDC79F4E,0x64c4c577CC5468F0Fb8A5A9E0512c0796A9092b1,optimism,joke15,2022-06-03 16:00:00+00
36,2022-08-02 15:26:12.762+00,2022-06-02 12:00:00+00,2022-06-03 16:30:00+00,0x3aCD536121141BDA3E8C0910E21802DA5Be3fCae,jokerace 15,,0x7B15427393A98A041D00b50254A0C7a6fDC79F4E,0x64c4c577CC5468F0Fb8A5A9E0512c0796A9092b1,polygon,joke15,2022-06-03 16:00:00+00
37,2022-08-02 15:26:24.575+00,2022-05-05 16:00:00+00,2022-05-07 21:00:00+00,0x32C5aa694280ac808709C59A590500E60438e099,jokerace12,,0x7B15427393A98A041D00b50254A0C7a6fDC79F4E,0xa0C19798094407a413Bb34C1AE530E925F7EE270,polygon,joke12,2022-05-07 20:00:00+00
38,2022-08-02 15:26:32.934+00,2022-05-19 13:30:00+00,2022-05-20 16:30:00+00,0x1009b6C98956565B88fC9784A753D0b311f3b782,jokerace 14,,0x7B15427393A98A041D00b50254A0C7a6fDC79F4E,0x31D467cd493977d3550656C83f6B9726E129C30B,polygon,joke14,2022-05-20 16:00:00+00
39,2022-08-02 15:26:45.326+00,2022-05-12 16:30:00+00,2022-05-13 17:00:00+00,0x2195a860f0b08852Eea497758BFBEd3da7B3d148,joke13,,0x7B15427393A98A041D00b50254A0C7a6fDC79F4E,0xb9AD33B1d8062BDE9364Bb1d384298b522D9dDFf,polygon,joke13,2022-05-13 16:00:00+00
40,2022-08-02 15:26:55.253+00,2022-05-10 16:00:00+00,2022-05-12 16:00:00+00,0xfb3df2Dc5D86bf53Ddc7d1Eb59ff6724501cce26,consensus ticket giveaway,,0x7B15427393A98A041D00b50254A0C7a6fDC79F4E,0xE673EffcDDa586fE2BA08B315F376E78e50AaA6b,polygon,TIXX ,2022-05-11 16:00:00+00
41,2022-08-02 15:27:13.764+00,2022-04-28 16:00:00+00,2022-04-29 17:00:00+00,0xB54Ed1CBddFCCB8BF2E52fa7eB2530a54537143f,jokerace11,,0x7B15427393A98A041D00b50254A0C7a6fDC79F4E,0x496d7bfa75397b99c3a3289eA814B001bB69652F,polygon,jokerace11,2022-04-29 16:00:00+00
42,2022-08-02 15:32:03.351+00,2022-04-28 17:02:04+00,2022-04-28 23:02:04+00,0x96F6c5956FeCa42F0b2C6C6423cb642736B830fF,who is going w/ ellie to MR Proof of Love Finale?,,0x6C70e5FC4e4926CD836A6F8B0645Aa1A077fa605,0x20C7ce241aF18110a2Caa2ea0ef522c5ECC00660,arbitrumone,EVR2,2022-04-28 21:02:04+00
43,2022-08-02 15:32:03.458+00,2022-04-28 17:02:04+00,2022-04-28 23:02:04+00,0x96F6c5956FeCa42F0b2C6C6423cb642736B830fF,who is going w/ ellie to MR Proof of Love Finale?,,0x6C70e5FC4e4926CD836A6F8B0645Aa1A077fa605,0x20C7ce241aF18110a2Caa2ea0ef522c5ECC00660,optimism,EVR2,2022-04-28 21:02:04+00
44,2022-08-02 15:32:56.336+00,2022-04-21 10:00:00+00,2022-04-22 17:00:00+00,0x62a9F20697747173db27cD9011344b14203be9eE,jokerace10,,0x7B15427393A98A041D00b50254A0C7a6fDC79F4E,0x28CA7db21689d736b5f0E65ee1F567Cecd5c7016,arbitrumone,joke10,2022-04-22 16:00:00+00
45,2022-08-02 15:32:56.371+00,2022-04-21 10:00:00+00,2022-04-22 17:00:00+00,0x62a9F20697747173db27cD9011344b14203be9eE,jokerace10,,0x7B15427393A98A041D00b50254A0C7a6fDC79F4E,0x28CA7db21689d736b5f0E65ee1F567Cecd5c7016,polygon,joke10,2022-04-22 16:00:00+00
46,2022-08-02 15:33:26.783+00,2022-04-14 16:00:00+00,2022-04-15 17:00:00+00,0x7C20E1efE0bA1E168aD44Aecc66dab9dFe9c0bF4,jokerace9,,0xd698e31229aB86334924ed9DFfd096a71C686900,0x273f19c6240d26A2072B79F4948E2c1154a7722D,polygon,jokevote41522,2022-04-15 16:00:00+00
47,2022-08-02 15:33:38.228+00,2022-04-07 16:00:00+00,2022-04-08 17:00:00+00,0xe0e063aa7CF9A71aE8738FfE88bc6D80E0239665,jokerace8,,0x7B15427393A98A041D00b50254A0C7a6fDC79F4E,0x64fa7284E554e6741c45E72651bcd46261091cA4,polygon,jokevote,2022-04-08 16:00:00+00
48,2022-08-02 15:33:54.977+00,2022-04-06 16:30:00+00,2022-04-07 21:00:00+00,0xbD83CC24c53ba11D56eDD77B9D53ecdeE1F1b853,cowfund cowhat cowntest,,0xceF8EB6DA8D9a42195f7ad992eCCE807491FD401,0xceb4633F7d17b015c0A0b824d6165e4585Db000d,polygon,COW,2022-04-07 17:00:00+00
49,2022-08-02 15:34:40.128+00,2022-04-02 01:45:30+00,2022-04-08 01:45:30+00,0x04aeb9f0ece680e2736d14a8e5417275af1b0ded,Joke is no joke at all,,0xf7253A0E87E39d2cD6365919D4a3D56D431D0041,0x50CcAC5086bBf60d994cbFE92c13E288AdAa5D5C,polygon,NOJO,2022-04-07 01:45:30+00
50,2022-08-02 19:58:21.088+00,2022-08-02 20:00:00+00,2022-08-02 20:10:00+00,0xd3eC630A5F86b45418db169fA0AA96283e9925DD,ЯКА ПРОБЛЕМА ПОТРЕБУЄ ПЕРШОЧЕРГОВОГО ВИРІШЕННЯ?,,0x48bCbB128d94896573113dcf428E779014E864Cd,0x63182ce8Ac476c028B6a027f99047160FEfF4036,polygon,W3CK,2022-08-02 20:05:00+00
51,2022-08-03 12:19:44.928+00,2022-08-03 12:27:00+00,2022-12-31 12:18:00+00,0x52127978D4567c862cdFc7ba82Ef9823Bff1AB65,wt?,,0x2d9E673D1Cc5b2618025F43659788FdFCF8D9931,0x77Fab6d5c3dD8aD6120FBef432C9a72C921522E6,polygon,FFNB,2022-10-14 12:17:00+00
52,2022-08-03 12:48:02.935+00,2022-08-03 12:55:00+00,2022-08-29 16:00:00+00,0x71D3854a47d1BfBeC4CdE8b11EE485F259847672,BNB  Chain,,0x18C57894c5cCBB86a175c3576e4696Df9c0A2D63,0xfe796bA5e0ea4AE3ec57947aF1B40C15f29515C0,polygon,BCB,2022-08-03 16:00:00+00
53,2022-08-03 12:55:32.994+00,2022-08-03 13:05:00+00,2022-08-05 13:55:00+00,0x200582A0a7Ea4EEBa65E9Fa19DE7842160E926D8,NBESSAY,,0x642d38840ebFDA55911F83B1Cf8b5FCB1D5fce36,0x8FcEb4686F04284390F816A866804d7c8a7bfb3C,polygon,NBESSAY,2022-08-03 13:55:00+00
54,2022-08-03 13:32:20.945+00,2022-08-03 13:41:00+00,2022-08-31 13:31:00+00,0x2cd7E585cE87de498165b491B0fB470dD1452fC4,Airdrop for every Hunter,,0xbD23497f0BFf23FBeEA70Cd14D923Ed08c5e480F,0x880b811cbC9a5aA332fAa3D2Dce99617c15b7ff1,polygon,ADC,2022-08-03 14:31:00+00
55,2022-08-03 13:38:32.808+00,2022-08-03 13:47:00+00,2022-08-13 13:38:00+00,0x1d9c02c98Dd0DdF690f2efc593D7ad130CB29fAA,LOVE,,0x437f40EFdddFd6c63c90504d3Df97F9c8326d25A,0x6aB5475914e7c8273a373b4498Feb8eE5FD1d5C4,polygon,LOVE,2022-08-03 15:37:00+00
56,2022-08-03 13:45:01.471+00,2022-08-03 14:00:00+00,2022-08-30 16:00:00+00,0x9188e857B6AfFDe5E3ACaFB8026034460322e552,entertainment,,0x2744a205b3a599508295e53d0290b949104d57F4,0x9597fDd68F7E80552C462354aFA4aa2905Ebc5E0,polygon,SAOGE,2022-08-03 14:01:00+00
57,2022-08-03 15:41:23.674+00,2022-08-03 15:48:00+00,2022-08-31 15:40:00+00,0x89e16B2B7689095e189960ec82D51d2620f31dbF,fans of curry,,0x9261624d3EFef21f36c13cE12EA01E951dFB20Bc,0x6aaE388aeC02DEaDbdb27318a41A6E9E06b64526,polygon,curry,2022-08-05 15:50:00+00
58,2022-08-03 15:57:03.706+00,2022-08-03 16:00:00+00,2022-08-31 15:57:00+00,0xB77948FaB19d1ba45044f40E8fB1e0b8B18D78e0,BCC DAO,,0x98567BD08fD9b8D4f06a7Bdc10c1dD31dc9Bdc35,0x6cD425c129E0Ee1c95C2f5330e3B7005920Cad69,polygon,BCC,2022-08-03 16:01:00+00
